unique_id,AutoMLP-median,AutoNHITS-median,AutoLSTM-median,AutoGRU-median,SeasonalNaive
M433,0.19658960526906302,0.17514320652522328,0.1137794332324164,0.12601007522273652,0.1648319651318283
M434,0.085470806937657,0.1141410492243099,0.08068616942085265,0.08189783434073807,0.13694642756626002
M435,0.12434036140311287,0.1495353542549984,0.13859128412137153,0.14042821156635016,0.2197569040844091
M436,0.15204820218586282,0.13342312072523557,0.11071831922348224,0.10812861006996678,0.14660703862938376
M437,0.05017483387806517,0.07495288195323446,0.059733562403873904,0.059552890937813636,0.15127400806083285
M438,0.13345674798456966,0.15537852280032796,0.18006455583645656,0.17156950867682028,0.22223632706225563
M439,0.09628229625489916,0.10485524675737772,0.07601009311052757,0.07515965283723952,0.1359872250402975
M44,0.09837236211992238,0.13811158188252953,0.13234034375159953,0.13251973938284722,0.14168008834463572
M440,0.06573586079112097,0.08551481726802439,0.0738107166128547,0.07407193454649402,0.14623340236758814
M441,0.005546799463594533,0.006140190428753045,0.004880540091317975,0.005075649148111423,0.008491453767150764
M442,0.10118881355407754,0.10282530983920639,0.04863339910473354,0.05085726642213861,0.06959236356201522
M443,0.04393338715732989,0.05029480457658339,0.04802487901907789,0.04384313747596879,0.0540419786640755
M444,0.007696125648363492,0.00868365404354895,0.007696785011796137,0.008437803390937295,0.009241592542252333
M445,0.01724013844296892,0.028791494917380655,0.00679932784596443,0.007094179553361704,0.009767082255093986
M446,0.009545010338405793,0.011289371643704124,0.007502042489204208,0.007124122786810055,0.018098561528653884
M447,0.012063123987488154,0.014642583057614234,0.004873023498111407,0.004755960555960908,0.017556304792711266
M448,0.01651144675407362,0.026313220250435043,0.014640191796092925,0.014366679908994158,0.019364490662622566
M449,0.045614933578336014,0.055753333289045325,0.056458274535443866,0.05267461189997607,0.042175532572761694
M45,0.19559022423699557,0.1895266556570643,0.2138179495491632,0.2226022468305662,0.23645612059043286
M450,0.041183470931618706,0.04474576448224767,0.04830609452947876,0.04592408776098791,0.06497168760995553
M451,0.013462124252951096,0.009817809255109203,0.010773465651658551,0.008859296515300938,0.0206112060612405
M452,0.011252988034328967,0.016175934368234758,0.014178903549343258,0.014176786352292319,0.028295425688678832
M453,0.03473682689857141,0.030378501447698575,0.027688582171234252,0.028075587034337064,0.025928258140137633
M454,0.009181600351863852,0.0068421973890879844,0.00865450338111635,0.008167167183226506,0.01247197862410501
M455,0.062332874943985005,0.07793988887581858,0.07452073779777006,0.0706880259005046,0.11967867352559867
M456,0.10637979647896069,0.06412051454319166,0.028650627848900084,0.04243947889847205,0.06696895456201264
M457,0.01565127067948888,0.022385459014029094,0.019459102521017384,0.01934176185500022,0.03124853104560406
M458,0.02436934319066154,0.02750344944016239,0.028196766017736307,0.028392123882666223,0.04422569309561818
M459,0.06473240682783345,0.07454620285227066,0.07042438288117042,0.06711508978842522,0.09061186562534007
M46,0.051450338951807645,0.07958557027952821,0.0627552432944909,0.06374411382939157,0.08769996776799244
M460,0.011774003220273879,0.014699065536929219,0.012355672424021127,0.012186198079942007,0.024506351210203833
M461,0.016603486763863,0.021268624301312503,0.021627066548574672,0.021744453951147116,0.05204684244694052
M462,0.006805642227912973,0.005796404195152898,0.007683153584604459,0.008055301387019183,0.020818846927155105
M463,0.014234813431226817,0.023694280481235924,0.016634672521641955,0.016733521404103485,0.02373777782785731
M464,0.003538859398795082,0.0042726762141472785,0.0032964859491915934,0.0029556747407475065,0.007276255071216954
M465,0.08069754421725457,0.04592157984157739,0.04247718692445085,0.048357099879902415,0.10683566857918171
M466,0.04944870589621031,0.08150469551352006,0.052014987711981535,0.051628313991157776,0.09651794535982498
M467,0.02974051910877217,0.034111416525952905,0.026808484451527448,0.027243109833862397,0.03489781466321946
M468,0.014521892766331071,0.01951327905717903,0.017476678141988986,0.017111476767406996,0.018794906810163988
M469,0.014787479742897474,0.024841381653537702,0.019460373029509457,0.019505484791184628,0.03615116760393138
M47,0.17748602731590213,0.20608415764406063,0.19778840645540777,0.20638158922303132,0.19717434027702227
M470,0.01924611185212979,0.020683927169543766,0.017028936071686002,0.016720753520371837,0.04031879506490332
M471,0.00497470695613529,0.006296560332509499,0.005817477557854942,0.005652517373026984,0.008744770090708063
M472,0.018189176108367292,0.01731880236283287,0.020256807807691426,0.02022819966043123,0.03028452740045459
M473,0.0027674604377555417,0.0034699526813572208,0.003933599485202047,0.004153302924571647,0.007694837706752038
M474,0.04380677194948027,0.0616271078625003,0.018279653473637848,0.01732468652537031,0.030521590527823092
M475,0.028599516080910492,0.026438337038830372,0.028580182753225783,0.03199998921746427,0.014796286366228935
M476,0.03125882010758663,0.028687494049185844,0.030165731369436163,0.035150931913089566,0.014858533802597544
M477,0.0527935186713084,0.04906471213398509,0.0494245552451977,0.04876386446143808,0.06191436597264713
M478,0.057068710850946676,0.06816442029274801,0.06421106953301514,0.06599137841762491,0.09463058562166278
M479,0.019237813577591186,0.031077318471067372,0.001708955885959869,0.001775800441663572,0.012797448651450409
M48,0.05170649744791663,0.0625532308851691,0.06348877725572338,0.06280503442199185,0.0989050344181288
